Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Oman,OMN,Male,SE.TER.ENRR.MA,2009,19.1318397521973
Qatar,QAT,Total,SE.TER.ENRR,2009,10.1654901504517
Qatar,QAT,Female,SE.TER.ENRR.FE,2009,34.4635810852051
Qatar,QAT,Male,SE.TER.ENRR.MA,2009,4.49385976791382
Saudi Arabia,SAU,Total,SE.TER.ENRR,2009,25.0353107452393
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2009,36.2919807434082
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2009,18.2154808044434
United Arab Emirates,ARE,Total,SE.TER.ENRR,2009,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2009,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2009,
Bahrain,BHR,Total,SE.TER.ENRR,2010,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2010,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2010,
Kuwait,KWT,Total,SE.TER.ENRR,2010,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2010,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2010,
Oman,OMN,Total,SE.TER.ENRR,2010,27.8526854365953
Oman,OMN,Female,SE.TER.ENRR.FE,2010,30.4687438975809
Oman,OMN,Male,SE.TER.ENRR.MA,2010,25.6528821396669
Qatar,QAT,Total,SE.TER.ENRR,2010,9.64273278083432
Qatar,QAT,Female,SE.TER.ENRR.FE,2010,31.9231473010064
Qatar,QAT,Male,SE.TER.ENRR.MA,2010,4.40631316389283
Saudi Arabia,SAU,Total,SE.TER.ENRR,2010,29.3244802795728
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2010,40.5683030721353
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2010,22.4630660291082
United Arab Emirates,ARE,Total,SE.TER.ENRR,2010,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2010,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2010,
Bahrain,BHR,Total,SE.TER.ENRR,2011,46.3075025646345
Bahrain,BHR,Female,SE.TER.ENRR.FE,2011,59.8875105130362
Bahrain,BHR,Male,SE.TER.ENRR.MA,2011,35.6997680100187
Kuwait,KWT,Total,SE.TER.ENRR,2011,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2011,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2011,
Oman,OMN,Total,SE.TER.ENRR,2011,31.5563508791784
Oman,OMN,Female,SE.TER.ENRR.FE,2011,34.8990686240297
Oman,OMN,Male,SE.TER.ENRR.MA,2011,28.7540226895946
Qatar,QAT,Total,SE.TER.ENRR,2011,12.6008552690979
